cliente_id,credit_aprobado,línea_credito_potencial
2,0.0,467591.2463
4,0.0,829058.2475
5,0.0,365787.0843
10,0.0,0.0
12,0.0,557840.7255000001
13,0.0,470815.1663
14,0.0,682267.6856000001
18,0.0,419142.5462
22,0.0,647518.3528
25,0.0,160079.64700000003
28,0.0,254444.7247
31,0.0,756908.0289
32,0.0,407147.7862
36,0.0,0.0
37,0.0,868094.8889
38,1.0,943960.9199999999
45,0.0,937940.2168
46,0.0,643251.6179000001
49,0.0,0.0
50,1.0,667234.26
52,0.0,121820.4733
55,0.0,0.0
56,1.0,767165.088
57,0.0,223864.23760000002
58,0.0,770694.5289
59,1.0,778731.492
60,0.0,59337.1667
65,0.0,720286.853
67,0.0,158433.95299999998
70,0.0,676323.4013
73,0.0,500326.326
76,0.0,0.0
77,1.0,280961.568
79,0.0,275748.2204
83,0.0,0.0
88,0.0,878036.8844999999
90,0.0,172484.7599
92,0.0,0.0
93,1.0,1151037.2519999999
95,0.0,793627.7101
97,0.0,141974.1547
98,0.0,69407.58380000001
101,0.0,0.0
102,0.0,0.0
104,1.0,353518.644
107,0.0,532957.7594999999
108,0.0,517823.7175
109,0.0,0.0
110,0.0,559105.3364
111,0.0,0.0
115,0.0,753764.8079
118,0.0,212756.1263
123,0.0,741298.8526
126,0.0,0.0
128,1.0,0.0
130,0.0,506114.04010000004
133,0.0,803475.4423999999
135,0.0,232043.5105
140,0.0,523802.059
144,0.0,455493.638
148,0.0,228601.4002
150,0.0,770877.2076
153,1.0,1100422.4279999998
155,0.0,956156.7788
156,1.0,408752.952
157,0.0,827258.3870999999
161,0.0,0.0
163,0.0,136639.4458
167,0.0,0.0
168,0.0,0.0
169,0.0,591033.4766
171,0.0,0.0
172,0.0,894186.6532
176,0.0,146378.1486
177,0.0,70111.0286
180,0.0,0.0
183,0.0,563440.7614000001
184,0.0,495974.842
185,0.0,0.0
186,0.0,0.0
187,0.0,899093.314
188,0.0,607459.5712
190,0.0,956400.9463000001
191,0.0,0.0
195,1.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,506783.4176
201,0.0,0.0
202,0.0,3181.0657
203,0.0,709564.794
205,0.0,307609.35719999997
208,0.0,413091.23219999997
209,0.0,235897.03420000002
210,0.0,841996.1758
218,0.0,358816.3471
221,1.0,0.0
224,0.0,815399.4923
225,0.0,852093.8931999999
229,0.0,782777.2599
232,0.0,556181.0531
233,0.0,815713.4104
234,0.0,477326.9595
238,0.0,154892.1658
239,1.0,37798.464
244,0.0,309477.09969999996
245,0.0,81998.0721
247,0.0,170160.78019999998
248,0.0,416169.9344
253,0.0,519572.482
254,0.0,102197.5772
256,0.0,0.0
257,0.0,150092.8074
259,0.0,252693.3443
261,0.0,875779.8476
262,0.0,584259.1238000001
263,0.0,425794.62840000005
264,0.0,957019.2581999999
265,0.0,409473.15969999996
268,0.0,0.0
273,0.0,640490.5405
274,0.0,374348.5614
275,1.0,1079414.6879999998
280,0.0,548294.9125
282,0.0,636973.0337
288,0.0,16294.2492
292,1.0,640675.5480000001
295,0.0,24482.702999999998
296,0.0,98896.0791
297,0.0,145499.9334
299,0.0,338280.3605
300,0.0,509532.173
302,0.0,893957.9185
303,0.0,0.0
304,0.0,139779.5661
305,0.0,180272.17299999998
306,0.0,221932.61260000002
307,0.0,786449.7512
308,0.0,49197.3828
312,0.0,0.0
313,0.0,0.0
314,0.0,861918.6581000001
315,0.0,910678.2968
317,0.0,346933.5153
320,1.0,3317.448
321,0.0,453977.9411
323,0.0,503687.4949
324,0.0,350263.24289999995
326,0.0,0.0
327,0.0,784690.7958
328,0.0,155202.0742
330,0.0,365938.1298
333,1.0,731103.4319999999
334,0.0,178805.68329999998
336,0.0,372881.3445
339,0.0,79988.4347
340,0.0,261513.1794
342,0.0,122848.84520000001
343,0.0,0.0
347,0.0,880428.3423
348,0.0,0.0
350,1.0,80763.864
351,0.0,353141.3793
353,0.0,626651.0963
355,0.0,480805.5308
358,0.0,897402.2811
361,0.0,445638.26
362,0.0,209941.8623
363,0.0,0.0
365,0.0,0.0
366,0.0,575096.5351
369,0.0,341512.15849999996
371,0.0,0.0
372,0.0,0.0
373,0.0,0.0
374,0.0,498092.89280000003
378,0.0,230729.1672
379,0.0,161790.33450000003
380,0.0,733480.5537
381,0.0,0.0
383,0.0,780793.7714
384,0.0,446698.81049999996
388,1.0,90507.504
389,0.0,996455.7283
391,0.0,684472.7883
393,1.0,196368.348
394,0.0,411828.39890000003
395,0.0,482520.96530000004
400,0.0,392698.81710000004
403,0.0,349935.71
406,0.0,863927.7198
407,0.0,752631.9717
408,0.0,225536.3128
411,1.0,209816.75999999998
412,1.0,439536.468
413,0.0,488278.4299
416,0.0,0.0
417,0.0,869341.4713
418,0.0,0.0
419,0.0,975055.515
420,0.0,680980.0063
426,0.0,668258.117
427,0.0,0.0
431,0.0,329865.7576
434,0.0,0.0
435,0.0,454135.66270000004
436,0.0,700500.2864
437,0.0,868271.6591
438,0.0,340466.4045
439,0.0,302288.6469
440,0.0,0.0
443,0.0,875503.1278
445,0.0,252724.87649999998
446,0.0,0.0
447,0.0,318952.7076
452,0.0,254345.3003
454,0.0,574335.5304
455,0.0,30730.865999999998
456,0.0,2228.5852
457,0.0,4230.9607
458,0.0,824390.7749
463,0.0,592248.4156999999
464,0.0,650217.5475
468,0.0,0.0
471,0.0,0.0
472,1.0,1096334.028
473,0.0,87481.0187
475,0.0,932353.2402
477,1.0,561758.076
480,1.0,384004.00800000003
482,0.0,409063.4532
483,1.0,741479.688
484,0.0,287105.90270000004
486,0.0,643623.1767000001
487,0.0,436487.16510000004
491,0.0,0.0
496,0.0,0.0
498,0.0,412784.2528
499,0.0,16015.3276
500,0.0,637877.2362
504,0.0,951485.2561
508,0.0,452707.1086
511,0.0,0.0
512,1.0,832730.82
